Datum,Hazai csapat,Vendeg csapat,Haza csapat eredmeny,Vendeg csapat eredmeny,Bajnoksag
6/22/2019,Guinea,Madagascar,2,2,African Cup of Nations
6/22/2019,Bolivia,Venezuela,1,3,Copa América
6/22/2019,Guyana,Panama,2,4,Gold Cup
6/22/2019,United States,Trinidad and Tobago,6,0,Gold Cup
6/22/2019,Brazil,Peru,5,0,Copa América
6/23/2019,Senegal,Tanzania,2,0,African Cup of Nations
6/23/2019,Algeria,Kenya,2,0,African Cup of Nations
6/23/2019,Morocco,Namibia,1,0,African Cup of Nations
6/23/2019,Colombia,Paraguay,1,0,Copa América
6/23/2019,Qatar,Argentina,0,2,Copa América
6/23/2019,Canada,Cuba,7,0,Gold Cup
6/23/2019,Martinique,Mexico,2,3,Gold Cup
6/24/2019,Ivory Coast,South Africa,1,0,African Cup of Nations
6/24/2019,Tunisia,Angola,1,1,African Cup of Nations
6/24/2019,Mali,Mauritania,4,1,African Cup of Nations
6/24/2019,Chile,Uruguay,0,1,Copa América
6/24/2019,Ecuador,Japan,1,1,Copa América
6/24/2019,Bermuda,Nicaragua,2,0,Gold Cup
6/24/2019,Haiti,Costa Rica,2,1,Gold Cup
6/25/2019,Cameroon,Guinea-Bissau,2,0,African Cup of Nations
6/25/2019,Ghana,Benin,2,2,African Cup of Nations
6/25/2019,Jamaica,Curaçao,1,1,Gold Cup
6/25/2019,Honduras,El Salvador,4,0,Gold Cup
6/26/2019,Uganda,Zimbabwe,1,1,African Cup of Nations
6/26/2019,Egypt,DR Congo,2,0,African Cup of Nations
6/26/2019,Nigeria,Guinea,1,0,African Cup of Nations
6/26/2019,Trinidad and Tobago,Guyana,1,1,Gold Cup
6/26/2019,United States,Panama,1,0,Gold Cup
6/27/2019,Madagascar,Burundi,1,0,African Cup of Nations
6/27/2019,Senegal,Algeria,0,1,African Cup of Nations
6/27/2019,Kenya,Tanzania,3,2,African Cup of Nations
6/27/2019,Brazil,Paraguay,0,0,Copa América
6/28/2019,Morocco,Ivory Coast,1,0,African Cup of Nations
6/28/2019,South Africa,Namibia,1,0,African Cup of Nations
6/28/2019,Tunisia,Mali,1,1,African Cup of Nations
6/28/2019,Colombia,Chile,0,0,Copa América
6/28/2019,Venezuela,Argentina,0,2,Copa América
6/29/2019,Mauritania,Angola,0,0,African Cup of Nations
6/29/2019,Cameroon,Ghana,0,0,African Cup of Nations
6/29/2019,Benin,Guinea-Bissau,0,0,African Cup of Nations
6/29/2019,Uruguay,Peru,0,0,Copa América
6/29/2019,Haiti,Canada,3,2,Gold Cup
6/29/2019,Mexico,Costa Rica,1,1,Gold Cup
6/30/2019,Egypt,Uganda,2,0,African Cup of Nations
6/30/2019,Zimbabwe,DR Congo,0,4,African Cup of Nations
6/30/2019,Burundi,Guinea,0,2,African Cup of Nations
6/30/2019,Madagascar,Nigeria,2,0,African Cup of Nations
6/30/2019,Jamaica,Panama,1,0,Gold Cup
6/30/2019,United States,Curaçao,1,0,Gold Cup
7/1/2019,Kenya,Senegal,0,3,African Cup of Nations
7/1/2019,Tanzania,Algeria,0,3,African Cup of Nations
7/1/2019,Namibia,Ivory Coast,1,4,African Cup of Nations
7/1/2019,South Africa,Morocco,0,1,African Cup of Nations
7/2/2019,Angola,Mali,0,1,African Cup of Nations
7/2/2019,Mauritania,Tunisia,0,0,African Cup of Nations
7/2/2019,Benin,Cameroon,0,0,African Cup of Nations
7/2/2019,Guinea-Bissau,Ghana,0,2,African Cup of Nations
7/2/2019,Brazil,Argentina,2,0,Copa América
7/2/2019,Haiti,Mexico,0,1,Gold Cup
7/3/2019,Chile,Peru,0,3,Copa América
7/3/2019,United States,Jamaica,3,1,Gold Cup
7/5/2019,Morocco,Benin,1,1,African Cup of Nations
7/5/2019,Uganda,Senegal,0,1,African Cup of Nations
7/6/2019,Egypt,South Africa,0,1,African Cup of Nations
7/6/2019,Nigeria,Cameroon,3,2,African Cup of Nations
7/6/2019,Argentina,Chile,2,1,Copa América
7/7/2019,Algeria,Guinea,3,0,African Cup of Nations
7/7/2019,Madagascar,DR Congo,2,2,African Cup of Nations
7/7/2019,Brazil,Peru,3,1,Copa América
7/7/2019,United States,Mexico,0,1,Gold Cup
7/7/2019,India,Tajikistan,2,4,Intercontinental Cup
7/8/2019,Ghana,Tunisia,1,1,African Cup of Nations
7/8/2019,Mali,Ivory Coast,0,1,African Cup of Nations
7/8/2019,Samoa,Papua New Guinea,0,6,Pacific Games
7/8/2019,American Samoa,New Caledonia,0,5,Pacific Games
7/8/2019,Tuvalu,Solomon Islands,0,13,Pacific Games
7/8/2019,Tahiti,Fiji,1,2,Pacific Games
7/8/2019,Syria,North Korea,5,2,Intercontinental Cup
7/10/2019,Nigeria,South Africa,2,1,African Cup of Nations
7/10/2019,Senegal,Benin,1,0,African Cup of Nations
7/10/2019,Papua New Guinea,Vanuatu,2,0,Pacific Games
7/10/2019,Tuvalu,Tahiti,0,7,Pacific Games
7/10/2019,American Samoa,Fiji,0,9,Pacific Games
7/10/2019,Solomon Islands,New Caledonia,0,2,Pacific Games
7/10/2019,Tajikistan,Syria,2,0,Intercontinental Cup
7/11/2019,Ivory Coast,Algeria,1,1,African Cup of Nations
7/11/2019,Madagascar,Tunisia,0,3,African Cup of Nations
7/12/2019,Samoa,Tonga,2,0,Pacific Games
7/12/2019,American Samoa,Tuvalu,1,1,Pacific Games
7/12/2019,Solomon Islands,Tahiti,0,3,Pacific Games
7/12/2019,New Caledonia,Fiji,1,0,Pacific Games
7/13/2019,India,North Korea,2,5,Intercontinental Cup
7/14/2019,Algeria,Nigeria,2,1,African Cup of Nations
7/14/2019,Senegal,Tunisia,1,0,African Cup of Nations
7/15/2019,Tonga,Vanuatu,0,14,Pacific Games
7/15/2019,Fiji,Tuvalu,10,1,Pacific Games
7/15/2019,Solomon Islands,American Samoa,13,0,Pacific Games
7/15/2019,Tahiti,New Caledonia,0,3,Pacific Games
7/15/2019,North Korea,Tajikistan,1,0,Intercontinental Cup
7/16/2019,India,Syria,1,1,Intercontinental Cup
7/17/2019,Tunisia,Nigeria,0,1,African Cup of Nations
7/18/2019,Papua New Guinea,Tonga,8,0,Pacific Games
7/18/2019,Samoa,Vanuatu,0,11,Pacific Games
7/18/2019,New Caledonia,Tuvalu,11,0,Pacific Games
7/18/2019,Tahiti,American Samoa,8,1,Pacific Games
7/18/2019,Fiji,Solomon Islands,4,4,Pacific Games
7/18/2019,Mauritius,Seychelles,1,1,Indian Ocean Island Games
7/18/2019,Réunion,Maldives,4,0,Indian Ocean Island Games
7/18/2019,Comoros,Mayotte,0,2,Indian Ocean Island Games
7/19/2019,Senegal,Algeria,0,1,African Cup of Nations
7/19/2019,Tajikistan,North Korea,0,1,Intercontinental Cup
7/20/2019,Papua New Guinea,Fiji,1,1,Pacific Games
7/20/2019,Seychelles,Madagascar,0,0,Indian Ocean Island Games
7/20/2019,Réunion,Mayotte,1,0,Indian Ocean Island Games
7/20/2019,Comoros,Maldives,3,0,Indian Ocean Island Games
7/22/2019,Mauritius,Madagascar,1,1,Indian Ocean Island Games
7/22/2019,Mayotte,Maldives,3,1,Indian Ocean Island Games
7/22/2019,Réunion,Comoros,0,1,Indian Ocean Island Games
7/24/2019,Mauritius,Mayotte,1,0,Indian Ocean Island Games
7/24/2019,Réunion,Seychelles,4,0,Indian Ocean Island Games
7/26/2019,Seychelles,Mayotte,1,3,Indian Ocean Island Games
7/28/2019,Mauritius,Réunion,1,1,Indian Ocean Island Games
7/30/2019,Iraq,Lebanon,1,0,WAFF Championship
7/30/2019,Yemen,Palestine,0,1,WAFF Championship
8/2/2019,Iraq,Palestine,2,1,WAFF Championship
8/2/2019,Lebanon,Syria,2,1,WAFF Championship
8/4/2019,Jordan,Bahrain,0,1,WAFF Championship
8/4/2019,Saudi Arabia,Kuwait,1,2,WAFF Championship
8/5/2019,Syria,Yemen,1,1,WAFF Championship
8/5/2019,Lebanon,Palestine,0,0,WAFF Championship
8/7/2019,Bahrain,Saudi Arabia,0,0,WAFF Championship
8/7/2019,Kuwait,Jordan,1,1,WAFF Championship
8/8/2019,Yemen,Lebanon,2,1,WAFF Championship
8/8/2019,Iraq,Syria,0,0,WAFF Championship
8/10/2019,Jordan,Saudi Arabia,3,0,WAFF Championship
8/10/2019,Kuwait,Bahrain,0,1,WAFF Championship
8/11/2019,Palestine,Syria,4,3,WAFF Championship
8/11/2019,Iraq,Yemen,2,1,WAFF Championship
8/14/2019,Iraq,Bahrain,0,1,WAFF Championship
9/4/2019,Burundi,Tanzania,1,1,FIFA World Cup qualification
9/4/2019,Djibouti,Eswatini,2,1,FIFA World Cup qualification
9/4/2019,Eritrea,Namibia,1,2,FIFA World Cup qualification
9/4/2019,Ethiopia,Lesotho,0,0,FIFA World Cup qualification
9/4/2019,Liberia,Sierra Leone,3,1,FIFA World Cup qualification
9/4/2019,Mauritius,Mozambique,0,1,FIFA World Cup qualification
9/4/2019,São Tomé and Príncipe,Guinea-Bissau,0,1,FIFA World Cup qualification
9/4/2019,South Sudan,Equatorial Guinea,1,1,FIFA World Cup qualification
9/5/2019,Republic of Ireland,Switzerland,1,1,UEFA Euro qualification
9/5/2019,Gibraltar,Denmark,0,6,UEFA Euro qualification
9/5/2019,Faroe Islands,Sweden,0,4,UEFA Euro qualification
9/5/2019,Norway,Malta,2,0,UEFA Euro qualification
9/5/2019,Romania,Spain,1,2,UEFA Euro qualification
9/5/2019,Israel,North Macedonia,1,1,UEFA Euro qualification
9/5/2019,Armenia,Italy,1,3,UEFA Euro qualification
9/5/2019,Bosnia and Herzegovina,Liechtenstein,5,0,UEFA Euro qualification
9/5/2019,Finland,Greece,1,0,UEFA Euro qualification
9/5/2019,Japan,Paraguay,2,0,Kirin Challenge Cup
9/5/2019,Bermuda,Panama,1,4,CONCACAF Nations League
9/5/2019,Grenada,Saint Kitts and Nevis,2,1,CONCACAF Nations League
9/5/2019,French Guiana,Belize,3,0,CONCACAF Nations League
9/5/2019,Dominica,Suriname,1,2,CONCACAF Nations League
9/5/2019,United States Virgin Islands,Cayman Islands,0,2,CONCACAF Nations League
9/5/2019,Barbados,Saint Martin,4,0,CONCACAF Nations League
9/5/2019,Guatemala,Anguilla,10,0,CONCACAF Nations League
9/5/2019,Guam,Maldives,0,1,FIFA World Cup qualification
9/5/2019,Philippines,Syria,2,5,FIFA World Cup qualification
9/5/2019,Taiwan,Jordan,1,2,FIFA World Cup qualification
9/5/2019,Kuwait,Nepal,7,0,FIFA World Cup qualification
9/5/2019,Cambodia,Hong Kong,1,1,FIFA World Cup qualification
9/5/2019,Bahrain,Iraq,1,1,FIFA World Cup qualification
9/5/2019,Palestine,Uzbekistan,2,0,FIFA World Cup qualification
9/5/2019,Singapore,Yemen,2,2,FIFA World Cup qualification
9/5/2019,India,Oman,1,2,FIFA World Cup qualification
9/5/2019,Qatar,Afghanistan,6,0,FIFA World Cup qualification
9/5/2019,Mongolia,Myanmar,1,0,FIFA World Cup qualification
9/5/2019,Tajikistan,Kyrgyzstan,1,0,FIFA World Cup qualification
9/5/2019,Thailand,Vietnam,0,0,FIFA World Cup qualification
9/5/2019,Indonesia,Malaysia,2,3,FIFA World Cup qualification
9/5/2019,North Korea,Lebanon,2,0,FIFA World Cup qualification
9/5/2019,Sri Lanka,Turkmenistan,0,2,FIFA World Cup qualification
9/5/2019,Chad,Sudan,1,3,FIFA World Cup qualification
9/5/2019,Seychelles,Rwanda,0,3,FIFA World Cup qualification
9/5/2019,Somalia,Zimbabwe,1,0,FIFA World Cup qualification
9/6/2019,Estonia,Belarus,1,2,UEFA Euro qualification
9/6/2019,Germany,Netherlands,2,4,UEFA Euro qualification
9/6/2019,Wales,Azerbaijan,2,1,UEFA Euro qualification
9/6/2019,Slovakia,Croatia,0,4,UEFA Euro qualification
9/6/2019,Austria,Latvia,6,0,UEFA Euro qualification
9/6/2019,Slovenia,Poland,2,0,UEFA Euro qualification
9/6/2019,Cyprus,Kazakhstan,1,1,UEFA Euro qualification
9/6/2019,Scotland,Russia,1,2,UEFA Euro qualification
9/6/2019,San Marino,Belgium,0,4,UEFA Euro qualification
9/6/2019,Martinique,Trinidad and Tobago,1,1,CONCACAF Nations League
9/6/2019,Aruba,Guyana,0,1,CONCACAF Nations League
9/6/2019,Jamaica,Antigua and Barbuda,6,0,CONCACAF Nations League
9/6/2019,Nicaragua,Saint Vincent and the Grenadines,1,1,CONCACAF Nations League
9/6/2019,Bonaire,British Virgin Islands,4,2,CONCACAF Nations League
9/6/2019,Comoros,Togo,1,1,FIFA World Cup qualification
9/6/2019,Gambia,Angola,0,1,FIFA World Cup qualification
9/7/2019,Kosovo,Czech Republic,2,1,UEFA Euro qualification
9/7/2019,England,Bulgaria,4,0,UEFA Euro qualification
9/7/2019,Lithuania,Ukraine,0,3,UEFA Euro qualification
9/7/2019,Serbia,Portugal,2,4,UEFA Euro qualification
9/7/2019,Iceland,Moldova,3,0,UEFA Euro qualification
9/7/2019,France,Albania,4,1,UEFA Euro qualification
9/7/2019,Turkey,Andorra,1,0,UEFA Euro qualification
9/7/2019,Canada,Cuba,6,0,CONCACAF Nations League
9/7/2019,Curaçao,Haiti,1,0,CONCACAF Nations League
9/7/2019,Montserrat,Dominican Republic,2,1,CONCACAF Nations League
9/7/2019,El Salvador,Saint Lucia,3,0,CONCACAF Nations League
9/7/2019,Guadeloupe,Sint Maarten,5,1,CONCACAF Nations League
9/7/2019,Botswana,Malawi,0,0,FIFA World Cup qualification
9/8/2019,Switzerland,Gibraltar,4,0,UEFA Euro qualification
9/8/2019,Georgia,Denmark,0,0,UEFA Euro qualification
9/8/2019,Romania,Malta,1,0,UEFA Euro qualification
9/8/2019,Spain,Faroe Islands,4,0,UEFA Euro qualification
9/8/2019,Sweden,Norway,1,1,UEFA Euro qualification
9/8/2019,Armenia,Bosnia and Herzegovina,4,2,UEFA Euro qualification
9/8/2019,Finland,Italy,1,2,UEFA Euro qualification
9/8/2019,Greece,Liechtenstein,1,1,UEFA Euro qualification
9/8/2019,Panama,Bermuda,0,2,CONCACAF Nations League
9/8/2019,Belize,Grenada,1,2,CONCACAF Nations League
9/8/2019,Saint Kitts and Nevis,French Guiana,2,2,CONCACAF Nations League
9/8/2019,Saint Vincent and the Grenadines,Dominica,1,0,CONCACAF Nations League
9/8/2019,Suriname,Nicaragua,6,0,CONCACAF Nations League
9/8/2019,Saint Martin,United States Virgin Islands,1,2,CONCACAF Nations League
9/8/2019,Cayman Islands,Barbados,3,2,CONCACAF Nations League
9/8/2019,Equatorial Guinea,South Sudan,1,0,FIFA World Cup qualification
9/8/2019,Lesotho,Ethiopia,1,1,FIFA World Cup qualification
9/8/2019,Sierra Leone,Liberia,1,0,FIFA World Cup qualification
9/8/2019,Tanzania,Burundi,1,1,FIFA World Cup qualification
9/9/2019,Northern Ireland,Germany,0,2,UEFA Euro qualification
9/9/2019,Estonia,Netherlands,0,4,UEFA Euro qualification
9/9/2019,Azerbaijan,Croatia,1,1,UEFA Euro qualification
9/9/2019,Hungary,Slovakia,1,2,UEFA Euro qualification
9/9/2019,Poland,Austria,0,0,UEFA Euro qualification
9/9/2019,Slovenia,Israel,3,2,UEFA Euro qualification
9/9/2019,Latvia,North Macedonia,0,2,UEFA Euro qualification
9/9/2019,Scotland,Belgium,0,4,UEFA Euro qualification
9/9/2019,Russia,Kazakhstan,1,0,UEFA Euro qualification
9/9/2019,San Marino,Cyprus,0,4,UEFA Euro qualification
9/9/2019,Trinidad and Tobago,Martinique,2,2,CONCACAF Nations League
9/9/2019,Antigua and Barbuda,Aruba,2,1,CONCACAF Nations League
9/9/2019,Guyana,Jamaica,0,4,CONCACAF Nations League
9/9/2019,Bahamas,Bonaire,2,1,CONCACAF Nations League
9/10/2019,England,Kosovo,5,3,UEFA Euro qualification
9/10/2019,Montenegro,Czech Republic,0,3,UEFA Euro qualification
9/10/2019,Luxembourg,Serbia,1,3,UEFA Euro qualification
9/10/2019,Lithuania,Portugal,1,5,UEFA Euro qualification
9/10/2019,Albania,Iceland,4,2,UEFA Euro qualification
9/10/2019,France,Andorra,3,0,UEFA Euro qualification
9/10/2019,Moldova,Turkey,0,4,UEFA Euro qualification
9/10/2019,Cuba,Canada,0,1,CONCACAF Nations League
9/10/2019,Haiti,Curaçao,1,1,CONCACAF Nations League
9/10/2019,Montserrat,Saint Lucia,1,1,CONCACAF Nations League
9/10/2019,Dominican Republic,El Salvador,1,0,CONCACAF Nations League
9/10/2019,Puerto Rico,Guatemala,0,5,CONCACAF Nations League
9/10/2019,Turks and Caicos Islands,Guadeloupe,0,3,CONCACAF Nations League
9/10/2019,Guam,Philippines,1,4,FIFA World Cup qualification
9/10/2019,Maldives,China PR,0,5,FIFA World Cup qualification
9/10/2019,Kuwait,Australia,0,3,FIFA World Cup qualification
9/10/2019,Taiwan,Nepal,0,2,FIFA World Cup qualification
9/10/2019,Cambodia,Bahrain,0,1,FIFA World Cup qualification
9/10/2019,Hong Kong,Iran,0,2,FIFA World Cup qualification
9/10/2019,Yemen,Saudi Arabia,2,2,FIFA World Cup qualification
9/10/2019,Singapore,Palestine,2,1,FIFA World Cup qualification
9/10/2019,Afghanistan,Bangladesh,1,0,FIFA World Cup qualification
9/10/2019,Qatar,India,0,0,FIFA World Cup qualification
9/10/2019,Mongolia,Tajikistan,0,1,FIFA World Cup qualification
9/10/2019,Myanmar,Japan,0,2,FIFA World Cup qualification
9/10/2019,Indonesia,Thailand,0,3,FIFA World Cup qualification
9/10/2019,Malaysia,United Arab Emirates,1,2,FIFA World Cup qualification
9/10/2019,Turkmenistan,South Korea,0,2,FIFA World Cup qualification
9/10/2019,Sri Lanka,North Korea,0,1,FIFA World Cup qualification
9/10/2019,Angola,Gambia,2,1,FIFA World Cup qualification
9/10/2019,Guinea-Bissau,São Tomé and Príncipe,2,1,FIFA World Cup qualification
9/10/2019,Malawi,Botswana,1,0,FIFA World Cup qualification
9/10/2019,Mozambique,Mauritius,2,0,FIFA World Cup qualification
9/10/2019,Namibia,Eritrea,2,0,FIFA World Cup qualification
9/10/2019,Rwanda,Seychelles,7,0,FIFA World Cup qualification
9/10/2019,Sudan,Chad,0,0,FIFA World Cup qualification
9/10/2019,Eswatini,Djibouti,0,0,FIFA World Cup qualification
9/10/2019,Togo,Comoros,2,0,FIFA World Cup qualification
9/10/2019,Zimbabwe,Somalia,3,1,FIFA World Cup qualification
10/9/2019,Djibouti,Gambia,1,1,African Cup of Nations qualification
10/9/2019,Liberia,Chad,1,0,African Cup of Nations qualification
10/9/2019,Mauritius,São Tomé and Príncipe,1,3,African Cup of Nations qualification
10/9/2019,South Sudan,Seychelles,2,1,African Cup of Nations qualification
10/10/2019,Belarus,Estonia,0,0,UEFA Euro qualification
10/10/2019,Netherlands,Northern Ireland,3,1,UEFA Euro qualification
10/10/2019,Croatia,Hungary,3,0,UEFA Euro qualification
10/10/2019,Slovakia,Wales,1,1,UEFA Euro qualification
10/10/2019,Austria,Israel,3,1,UEFA Euro qualification
10/10/2019,North Macedonia,Slovenia,2,1,UEFA Euro qualification
10/10/2019,Latvia,Poland,0,3,UEFA Euro qualification
10/10/2019,Kazakhstan,Cyprus,1,2,UEFA Euro qualification
10/10/2019,Belgium,San Marino,9,0,UEFA Euro qualification
10/10/2019,Russia,Scotland,4,0,UEFA Euro qualification
10/10/2019,Trinidad and Tobago,Honduras,0,2,CONCACAF Nations League
10/10/2019,Haiti,Costa Rica,1,1,CONCACAF Nations League
10/10/2019,Belize,Saint Kitts and Nevis,0,4,CONCACAF Nations League
10/10/2019,French Guiana,Grenada,0,0,CONCACAF Nations League
10/10/2019,British Virgin Islands,Bahamas,0,4,CONCACAF Nations League
10/10/2019,Sint Maarten,Turks and Caicos Islands,2,5,CONCACAF Nations League
10/10/2019,Syria,Maldives,2,1,FIFA World Cup qualification
10/10/2019,China PR,Guam,7,0,FIFA World Cup qualification
10/10/2019,Jordan,Kuwait,0,0,FIFA World Cup qualification
10/10/2019,Australia,Nepal,5,0,FIFA World Cup qualification
10/10/2019,Iran,Cambodia,14,0,FIFA World Cup qualification
10/10/2019,Iraq,Hong Kong,2,0,FIFA World Cup qualification
10/10/2019,Uzbekistan,Yemen,5,0,FIFA World Cup qualification
10/10/2019,Saudi Arabia,Singapore,3,0,FIFA World Cup qualification
10/10/2019,Bangladesh,Qatar,0,2,FIFA World Cup qualification
10/10/2019,Oman,Afghanistan,3,0,FIFA World Cup qualification
10/10/2019,Japan,Mongolia,6,0,FIFA World Cup qualification
10/10/2019,Kyrgyzstan,Myanmar,7,0,FIFA World Cup qualification
10/10/2019,United Arab Emirates,Indonesia,5,0,FIFA World Cup qualification
10/10/2019,Vietnam,Malaysia,1,0,FIFA World Cup qualification
10/10/2019,Lebanon,Turkmenistan,2,1,FIFA World Cup qualification
10/10/2019,South Korea,Sri Lanka,8,0,FIFA World Cup qualification
10/11/2019,Czech Republic,England,2,1,UEFA Euro qualification
10/11/2019,Montenegro,Bulgaria,0,0,UEFA Euro qualification
10/11/2019,Portugal,Luxembourg,3,0,UEFA Euro qualification
10/11/2019,Ukraine,Lithuania,2,0,UEFA Euro qualification
10/11/2019,Iceland,France,0,1,UEFA Euro qualification
10/11/2019,Andorra,Moldova,1,0,UEFA Euro qualification
10/11/2019,Turkey,Albania,1,0,UEFA Euro qualification
10/11/2019,Bermuda,Mexico,1,5,CONCACAF Nations League
10/11/2019,Antigua and Barbuda,Guyana,2,1,CONCACAF Nations League
10/11/2019,Saint Vincent and the Grenadines,Suriname,2,2,CONCACAF Nations League
10/11/2019,Nicaragua,Dominica,3,1,CONCACAF Nations League
10/12/2019,Georgia,Republic of Ireland,0,0,UEFA Euro qualification
10/12/2019,Denmark,Switzerland,1,0,UEFA Euro qualification
10/12/2019,Faroe Islands,Romania,0,3,UEFA Euro qualification
10/12/2019,Malta,Sweden,0,4,UEFA Euro qualification
10/12/2019,Norway,Spain,1,1,UEFA Euro qualification
10/12/2019,Bosnia and Herzegovina,Finland,4,1,UEFA Euro qualification
10/12/2019,Italy,Greece,2,0,UEFA Euro qualification
10/12/2019,Liechtenstein,Armenia,1,1,UEFA Euro qualification
10/12/2019,Dominican Republic,Saint Lucia,3,0,CONCACAF Nations League
10/12/2019,Montserrat,El Salvador,0,2,CONCACAF Nations League
10/12/2019,Jamaica,Aruba,2,0,CONCACAF Nations League
10/12/2019,Barbados,United States Virgin Islands,1,0,CONCACAF Nations League
